id,category
S8149,1
S1279,0
S5129,1
S5935,3
S747,1
S6715,0
S7241,1
S125,0
S3947,0
S4875,1
S6310,4
S7950,3
S4194,0
S8677,0
S9294,0
S3925,1
S7786,0
S1242,0
S1449,0
S5024,0
S7988,0
S4641,0
S4048,0
S7559,1
S6882,1
S9311,3
S5100,0
S3344,3
S7809,0
S2832,1
S7927,1
S8639,1
S2636,0
S7611,0
S451,1
S274,1
S5584,0
S8063,1
S6245,1
S5482,0
S391,1
S9163,3
S5739,3
S3373,1
S8675,1
S5513,1
S1157,1
S7658,0
S2049,1
S4970,1
S4510,0
S7414,1
S6984,0
S7888,0
S8396,3
S3183,0
S614,1
S6508,1
S1040,4
S467,1
S5145,0
S2256,0
S3083,1
S2176,4
S3131,1
S2758,1
S5397,4
S6902,0
S7442,3
S8352,1
S3302,0
S5532,0
S5900,1
S7348,1
S4706,0
S6694,0
S8938,0
S5548,1
S6951,0
S7048,0
S4289,0
S1111,0
S7970,1
S9181,0
S8786,0
S969,1
S7092,1
S1505,0
S174,3
S9291,0
S4923,0
S3363,1
S1129,1
S5946,0
S7760,1
S8557,0
S6525,4
S7226,0
S1202,4
S3867,1
S7720,0
S5260,3
S4372,0
S3807,0
S3941,4
S1356,1
S4248,0
S2165,0
S659,0
S871,0
S28,1
S6497,1
S5258,0
S1684,1
S332,0
S1001,1
S7694,1
S4985,0
S293,0
S8429,0
S1622,0
S1059,4
S6272,4
S5940,1
S1837,4
S2338,1
S1251,0
S7727,1
S4318,0
S2158,0
S7117,0
S752,3
S6415,0
S5468,1
S4522,1
S5552,0
S3672,1
S1810,3
S3090,4
S2553,1
S4745,1
S7651,1
S7981,0
S8490,1
S6217,0
S7644,0
S4465,3
S5535,0
S2959,1
S363,1
S2485,3
S4320,0
S437,1
S3361,1
S9238,1
S2002,0
S577,1
S5130,3
S2157,3
S2655,0
S7339,0
S8605,1
S9232,0
S5583,0
S7558,0
S1666,3
S8902,4
S6279,4
S8285,1
S558,1
S6196,1
S2603,0
S1858,1
S2345,3
S4397,5
S3789,0
S2872,1
S3340,1
S2951,0
S3062,1
S3231,1
S816,0
S701,1
S957,1
S5540,0
S651,0
S1377,3
S8727,1
S8871,1
S6112,1
S6651,3
S3434,0
S6697,0
S8106,0
S6777,0
S8747,1
S507,0
S579,0
S6969,1
S7285,1
S2760,0
S8993,1
S1791,1
S328,1
S968,1
S7473,0
S717,3
S3297,1
S4408,0
S8093,1
S6070,1
S6730,0
S2639,1
S2055,0
S6521,1
S4358,1
S8763,0
S114,0
S9339,1
S5017,1
S7879,0
S9124,1
S744,1
S4700,1
S7860,1
S8084,0
S5993,3
S216,0
S4773,0
S8698,1
S7444,4
S8135,4
S6482,1
S3003,1
S2494,3
S9312,1
S9011,4
S8509,1
S1008,1
S2239,0
S4179,4
S5008,0
S8599,4
S1147,0
S9367,1
S3959,0
S7072,1
S3987,1
S4822,1
S2881,0
S3222,1
S3395,1
S7885,0
S3525,1
S523,1
S5487,0
S4984,1
S441,0
S8185,1
S7220,1
S6722,1
S2963,0
S8885,1
S3386,1
S7863,1
S2366,1
S3744,1
S3847,0
S589,3
S7952,0
S7492,3
S9270,3
S8452,1
S3499,0
S8868,0
S3895,0
S5157,1
S5164,0
S1591,1
S6084,1
S537,0
S6430,1
S5812,0
S4043,1
S4190,1
S7728,4
S8536,0
S6676,1
S1948,1
S8803,1
S2970,3
S4804,1
S4275,1
S2330,1
S460,0
S3422,1
S5442,3
S6683,1
S784,0
S6464,1
S7682,0
S2166,0
S2629,1
S3008,0
S971,0
S5851,4
S4885,0
S8730,1
S7991,3
S6049,4
S4042,3
S8190,1
S6389,0
S8552,0
S224,0
S557,0
S4974,3
S7363,0
S8914,1
S4917,5
S958,4
S4701,1
S7134,1
S2319,1
S7294,1
S8589,1
S4402,0
S7269,1
S6325,0
S4633,1
S2069,0
S314,1
S4152,1
S2493,0
S446,1
S4790,1
S82,0
S3254,4
S7729,1
S2213,1
S3238,4
S9282,1
S2012,0
S8275,1
S7057,0
S3812,1
S3520,0
S3781,0
S3180,1
S1469,1
S6047,1
S2513,0
S3559,4
S9077,1
S1414,1
S3936,0
S501,3
S5881,0
S4670,0
S2125,1
S3818,3
S201,1
S1765,0
S641,1
S3495,0
S7555,1
S4262,3
S2114,0
S3223,1
S3121,0
S6186,0
S4708,1
S1423,1
S1141,1
S6785,1
S5632,1
S5912,0
S5010,3
S8316,0
S4877,0
S688,1
S7292,1
S2547,0
S4906,1
S508,1
S6747,0
S8646,1
S4208,0
S7081,3
S8655,1
S3578,0
S7478,0
S2374,1
S7150,1
S9040,0
S3633,0
S1912,0
S4973,4
S8448,0
S427,1
S1287,1
S1121,0
S2074,0
S5057,0
S899,1
S2831,0
S7959,0
S6206,3
S2819,0
S9152,0
S5065,1
S1841,4
S8380,1
S7475,0
S1031,0
S1011,1
S8776,4
S3927,0
S8225,0
S5193,0
S7083,4
S6165,1
S4580,0
S9313,0
S8713,3
S6294,1
S2006,0
S2433,0
S2019,4
S5074,0
S3439,1
S8140,0
S7067,0
S2537,0
S4028,1
S2368,0
S8160,1
S2662,4
S960,0
S2219,0
S4334,1
S5769,0
S8658,1
S2667,3
S462,1
S2064,3
S2470,1
S2358,1
S4784,1
S422,0
S5375,3
S5734,0
S3837,0
S3972,4
S606,1
S4490,1
S7303,0
S8651,0
S1294,1
S5954,1
S4481,1
S290,1
S8957,0
S8883,1
S5042,4
S9120,1
S7440,1
S3510,1
S7783,0
S5092,1
S7412,0
S8088,0
S1977,0
S1258,1
S5978,3
S6933,1
S5347,0
S2032,4
S8293,0
S1128,1
S1744,4
S4479,1
S7044,3
S1878,0
S6453,1
S177,1
S6717,4
S9095,0
S2362,0
S454,0
S4887,1
S5687,4
S7713,1
S9125,1
S3035,3
S1081,0
S1447,0
S1958,0
S5438,4
S4814,0
S7318,0
S690,1
S4645,0
S3626,1
S7792,0
S361,0
S3508,0
S1576,1
S3875,1
S8506,1
S2044,4
S268,1
S1578,1
S979,1
S3889,1
S2489,0
S5148,0
S8085,0
S5473,1
S8900,4
S4682,0
S1806,1
S6569,0
S5282,0
S1784,0
S8354,0
S4451,0
S4851,0
S3320,1
S2896,1
S2270,1
S7114,1
S8603,1
S378,3
S9117,0
S6157,1
S8979,0
S9058,0
S7584,0
S7050,0
S7093,0
S600,3
S9428,4
S738,0
S3529,0
S7911,1
S6308,1
S199,0
S5240,1
S5640,0
S4546,1
S6660,0
S9141,1
S3500,1
S4021,1
S7325,0
S3658,1
S9345,1
S1696,1
S964,1
S3368,0
S942,1
S8500,0
S1583,4
S2593,0
S5412,3
S770,0
S2140,0
S4839,3
S4090,1
S7916,0
S7256,1
S1407,1
S8582,0
S8096,0
S3772,0
S8610,0
S7116,1
S1660,0
S955,0
S8901,1
S1755,1
S696,1
S2671,1
S3315,3
S8460,0
S3442,0
S2317,0
S1124,1
S3580,0
S5628,0
S9209,1
S4727,0
S9168,0
S4454,0
S6793,3
S5587,3
S7599,0
S5146,1
S3411,0
S5741,0
S227,0
S7886,1
S3535,1
S591,0
S7897,1
S2430,0
S6074,0
S9386,0
S1680,0
S1070,1
S8765,0
S7712,0
S951,4
S9334,0
S8013,1
S1853,0
S4217,3
S3478,1
S1270,1
S5772,0
S3328,0
S3850,0
S6001,1
S6895,1
S6794,1
S7726,1
S9342,0
S1640,1
S3557,1
S8446,1
S1351,0
S7938,3
S9324,3
S5458,1
S4568,1
S2062,1
S4620,1
S2615,1
S9192,1
S2681,1
S8745,4
S5779,1
S8555,0
S245,3
S7063,0
S8343,4
S8779,5
S8527,1
S6744,0
S1165,1
S6274,4
S5246,1
S7538,0
S818,1
S7724,0
S1237,1
S4897,1
S3660,0
S167,3
S561,1
S7158,4
S2701,0
S5224,0
S2539,3
S2978,4
S6288,4
S4047,0
S5187,0
S3702,1
S3649,4
S1283,0
S3679,0
S6880,0
S718,0
S6040,1
S985,4
S2209,4
S6751,3
S48,0
S6220,1
S2310,3
S4447,1
S2873,0
S4482,1
S6869,4
S3000,1
S2173,3
S9197,3
S8402,1
S3275,1
S8113,3
S4455,0
S5470,0
S3524,0
S1334,1
S630,4
S5775,1
S3343,1
S1150,1
S1400,0
S5392,3
S7206,0
S6197,0
S1254,1
S4679,0
S2889,0
S1989,1
S1739,1
S3188,0
S1886,0
S5073,1
S1871,3
S6411,0
S6559,4
S2175,1
S6813,1
S2052,1
S1814,1
S4070,3
S3558,0
S9193,3
S2728,1
S1876,0
S7565,1
S6239,0
S145,4
S2967,4
S2988,0
S8755,0
S6565,0
S6783,0
S527,0
S8630,1
S5078,0
S2989,4
S6192,0
S8741,0
S5278,4
S2352,1
S3824,1
S96,1
S2809,0
S7545,1
S4824,0
S6958,0
S4752,1
S2226,1
S4327,0
S3937,0
S2063,1
S3321,4
S7853,1
S4614,1
S8049,1
S3163,1
S4613,0
S3484,0
S2647,1
S7788,1
S1210,1
S5338,0
S974,1
S2086,0
S4161,1
S9166,1
S852,0
S5455,1
S6282,3
S3777,0
S5302,0
S4605,1
S2992,1
S8995,0
S9136,4
S5809,4
S1945,1
S1133,1
S5376,1
S1274,4
S2581,1
S3141,3
S1252,1
S6585,1
S2696,0
S6681,1
S836,4
S297,3
S5525,0
S2022,1
S7641,0
S7132,0
S9051,1
S4545,0
S8968,4
S4471,1
S6719,1
S845,0
S8413,0
S5205,1
S4868,0
S4076,4
